player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
CH Gayle,4406,3176,115,309,365,14,674,522
Mandeep Singh,1636,1354,74,37,168,0,26,12
TM Head,1533,944,46,76,170,3,121,64
KM Jadhav,1046,873,51,36,84,0,0,0
SR Watson,3303,2501,111,165,315,77,2334,1822
Sachin Baby,128,114,8,4,9,2,4,4
STR Binny,767,617,41,31,56,19,629,505
S Aravind,59,59,4,0,7,41,964,721
TS Mills,8,12,3,1,0,8,277,168
YS Chahal,35,84,6,0,0,192,4799,3624
A Choudhary,25,20,1,1,1,5,144,108
DA Warner,5759,4265,147,208,569,0,2,2
S Dhawan,5908,4795,170,130,676,4,72,49
MC Henriques,868,675,32,26,77,37,1168,873
Yuvraj Singh,2501,1982,95,140,193,34,977,780
DJ Hooda,1356,1086,74,55,92,10,523,372
BCJ Cutting,182,108,7,15,12,8,308,209
NV Ojha,1429,1233,67,73,111,0,0,0
Bipul Sharma,168,113,7,7,11,17,522,394
B Kumar,224,261,30,1,21,182,5266,4063
A Nehra,30,50,7,1,2,97,2320,1792
Rashid Khan,602,403,43,42,42,151,3830,3158
PA Patel,2413,2055,113,43,310,0,0,0
JC Buttler,3884,2677,102,175,383,0,0,0
RG Sharma,6745,5168,222,304,601,13,420,313
N Rana,2610,1959,96,123,248,10,319,217
AT Rayudu,3971,3185,141,157,331,0,0,0
KH Pandya,1496,1166,64,57,127,95,2829,2290
KA Pollard,2931,2076,103,190,190,61,1864,1370
HH Pandya,2572,1824,91,139,201,66,2491,1627
TG Southee,117,98,10,4,8,38,1567,1075
MJ McClenaghan,59,52,11,6,1,52,1543,1119
JJ Bumrah,73,83,5,1,6,159,4081,3322
AM Rahane,4894,3965,155,132,492,1,5,6
MA Agarwal,2485,1923,109,89,244,0,0,0
SPD Smith,2230,1750,64,60,194,0,5,2
BA Stokes,835,633,33,32,68,24,874,629
MS Dhoni,5042,3819,127,248,347,0,0,0
MK Tiwary,1513,1334,55,38,137,1,83,45
R Bhatia,320,274,29,12,22,67,1936,1551
DL Chahar,134,96,9,9,7,88,2635,1974
A Zampa,15,25,5,0,1,31,656,475
AB Dinda,20,39,8,0,2,62,1823,1393
Imran Tahir,30,33,4,0,5,78,1629,1256
HM Amla,568,407,11,20,60,0,0,0
M Vohra,921,738,41,35,91,0,0,0
WP Saha,2580,2097,101,78,255,0,0,0
AR Patel,1804,1444,86,85,122,125,3894,3184
GJ Maxwell,2440,1641,101,145,202,35,1216,884
DA Miller,2989,2225,82,138,215,0,0,0
MP Stoinis,1993,1382,62,103,168,36,1353,834
Swapnil Singh,42,42,5,2,3,7,222,153
MM Sharma,111,125,17,4,7,111,3149,2176
Sandeep Sharma,54,72,6,0,4,139,3938,2970
T Natarajan,4,7,0,0,0,70,2285,1554
DT Christian,410,355,28,17,21,33,1133,861
RD Chahar,102,100,15,4,11,68,1929,1501
Vishnu Vinod,71,66,6,4,4,0,0,0
P Negi,346,271,25,16,26,29,898,684
Iqbal Abdulla,86,82,2,1,9,34,973,789
B Stanlake,5,2,0,0,1,6,171,125
AP Tare,287,231,20,9,34,0,0,0
SW Billings,484,384,24,19,39,0,0,0
KK Nair,1648,1269,66,48,181,0,0,0
SV Samson,4693,3394,142,225,389,0,0,0
RR Pant,3423,2451,102,154,314,0,0,0
CH Morris,452,309,25,26,29,85,2072,1562
CR Brathwaite,180,118,12,16,10,12,366,247
PJ Cummins,618,400,26,43,38,78,2336,1614
A Mishra,296,321,25,5,24,152,3672,3003
S Nadeem,37,81,13,0,2,47,1699,1377
Z Khan,94,132,14,1,8,92,2553,2030
VR Aaron,41,58,4,1,2,42,1363,941
AB de Villiers,4707,3128,112,237,375,0,0,0
CJ Anderson,538,432,21,31,40,11,508,301
F du Plessis,4126,3129,118,151,378,0,16,6
RA Tripathi,2068,1552,77,77,204,0,12,6
Harbhajan Singh,781,585,52,40,76,138,3663,3123
SL Malinga,88,103,16,5,6,155,3148,2706
V Shankar,1047,842,40,38,79,9,301,239
Mustafizur Rahman,13,20,2,1,0,64,1735,1306
I Sharma,54,69,6,2,4,79,2955,2178
SP Narine,1601,1049,94,105,169,196,4906,4329
