player_name,season,phase,runs,balls,fours,sixes,dismissals,runs_conceded,balls_bowled,wickets
BCJ Cutting,2017,Overall,16,6,0,2,0,35,24,0
BCJ Cutting,2017,Powerplay,0,0,0,0,0,5,7,0
BCJ Cutting,2017,Middle,0,0,0,0,0,11,7,0
BCJ Cutting,2017,Death,16,6,0,2,0,19,10,0
Mandeep Singh,2017,Overall,24,16,5,0,1,0,0,0
Mandeep Singh,2017,Powerplay,24,16,5,0,1,0,0,0
Mandeep Singh,2017,Middle,0,0,0,0,0,0,0,0
Mandeep Singh,2017,Death,0,0,0,0,0,0,0,0
Rashid Khan,2017,Overall,0,0,0,0,0,36,24,2
Rashid Khan,2017,Powerplay,0,0,0,0,0,6,6,1
Rashid Khan,2017,Middle,0,0,0,0,0,30,18,1
Rashid Khan,2017,Death,0,0,0,0,0,0,0,0
Yuvraj Singh,2017,Overall,62,30,7,3,1,0,0,0
Yuvraj Singh,2017,Powerplay,0,0,0,0,0,0,0,0
Yuvraj Singh,2017,Middle,40,18,4,2,0,0,0,0
Yuvraj Singh,2017,Death,22,12,3,1,1,0,0,0
YS Chahal,2017,Overall,3,7,0,0,1,22,24,1
YS Chahal,2017,Powerplay,0,0,0,0,0,4,6,0
YS Chahal,2017,Middle,0,0,0,0,0,14,12,0
YS Chahal,2017,Death,3,7,0,0,1,4,6,1
DA Warner,2017,Overall,14,9,2,1,1,0,0,0
DA Warner,2017,Powerplay,14,9,2,1,1,0,0,0
DA Warner,2017,Middle,0,0,0,0,0,0,0,0
DA Warner,2017,Death,0,0,0,0,0,0,0,0
A Nehra,2017,Overall,0,0,0,0,0,42,25,2
A Nehra,2017,Powerplay,0,0,0,0,0,27,12,0
A Nehra,2017,Middle,0,0,0,0,0,13,7,0
A Nehra,2017,Death,0,0,0,0,0,2,6,2
S Aravind,2017,Overall,0,2,0,0,1,36,18,0
S Aravind,2017,Powerplay,0,0,0,0,0,9,6,0
S Aravind,2017,Middle,0,0,0,0,0,27,12,0
S Aravind,2017,Death,0,2,0,0,1,0,0,0
